epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,8140.74,1.63899,1.90614,1.89418,0.66696,0.54038,0.63021,0.3315,1.60554,1.87129,1.98183,0.0010694,0.0010694,0.0010694
49,8307.2,1.59945,1.88876,1.87172,0.69744,0.54237,0.63065,0.32379,1.6486,1.89506,2.0019,0.0010496,0.0010496,0.0010496
50,8474.96,1.58111,1.84803,1.83825,0.67897,0.56091,0.64821,0.33579,nan,nan,nan,0.0010298,0.0010298,0.0010298
51,8648.87,1.5718,1.84334,1.83677,0.6658,0.57627,0.65,0.34765,1.60579,1.64576,1.97796,0.00101,0.00101,0.00101
52,8818.23,1.59271,1.82846,1.8444,0.69025,0.5324,0.64514,0.34558,1.60492,1.65811,1.99706,0.0009902,0.0009902,0.0009902
53,8981.36,1.57189,1.79025,1.83326,0.71309,0.55035,0.64597,0.33846,1.6264,1.71461,2.04381,0.0009704,0.0009704,0.0009704
54,9144.77,1.56914,1.81858,1.84283,0.68906,0.55633,0.65098,0.34387,1.59688,1.73156,1.99892,0.0009506,0.0009506,0.0009506
55,9307.3,1.56385,1.7893,1.83411,0.70213,0.56873,0.66363,0.34399,nan,nan,nan,0.0009308,0.0009308,0.0009308
56,9470.19,1.57653,1.76499,1.83283,0.68541,0.57783,0.65859,0.33946,nan,nan,nan,0.000911,0.000911,0.000911
57,9632.9,1.54344,1.73729,1.81506,0.70184,0.54736,0.65411,0.33911,nan,nan,nan,0.0008912,0.0008912,0.0008912
58,9795.79,1.54666,1.76515,1.80595,0.65959,0.55831,0.63233,0.34107,nan,nan,nan,0.0008714,0.0008714,0.0008714
59,9964.16,1.54563,1.73172,1.80996,0.72968,0.58524,0.68539,0.36589,nan,nan,nan,0.0008516,0.0008516,0.0008516
60,10134.7,1.55295,1.70472,1.80717,0.71556,0.59521,0.6886,0.35301,nan,nan,nan,0.0008318,0.0008318,0.0008318
61,10299.8,1.51355,1.70149,1.77062,0.66802,0.6002,0.6761,0.36211,nan,nan,nan,0.000812,0.000812,0.000812
62,10472.3,1.52463,1.70025,1.7859,0.69073,0.55533,0.62238,0.33054,nan,nan,nan,0.0007922,0.0007922,0.0007922
63,10646.3,1.52981,1.71198,1.81083,0.69659,0.57627,0.66256,0.35426,nan,nan,nan,0.0007724,0.0007724,0.0007724
64,10821.8,1.51489,1.69506,1.78668,0.72616,0.5683,0.66686,0.34721,nan,nan,nan,0.0007526,0.0007526,0.0007526
65,10992.4,1.52005,1.66815,1.79417,0.71938,0.57627,0.65342,0.34871,nan,nan,nan,0.0007328,0.0007328,0.0007328
66,11162.9,1.50635,1.62196,1.75761,0.73101,0.59337,0.69198,0.36867,nan,nan,nan,0.000713,0.000713,0.000713
67,11333.8,1.51878,1.64909,1.78434,0.69883,0.6012,0.68256,0.36106,nan,nan,nan,0.0006932,0.0006932,0.0006932
68,11504.2,1.53832,1.6653,1.80438,0.79692,0.55948,0.69942,0.36318,nan,nan,nan,0.0006734,0.0006734,0.0006734
69,11676.6,1.51708,1.64433,1.77463,0.74699,0.61228,0.70944,0.36976,nan,nan,nan,0.0006536,0.0006536,0.0006536
70,11847.5,1.49085,1.60112,1.75678,0.77282,0.60219,0.72234,0.38642,nan,nan,nan,0.0006338,0.0006338,0.0006338
71,12016.3,1.47421,1.60667,1.74435,0.73979,0.60094,0.70607,0.37232,nan,nan,nan,0.000614,0.000614,0.000614
72,12186.2,1.49211,1.5828,1.75751,0.76979,0.60342,0.70913,0.37357,nan,nan,nan,0.0005942,0.0005942,0.0005942
73,12354.5,1.47312,1.58722,1.72643,0.72726,0.61914,0.70547,0.37236,nan,nan,nan,0.0005744,0.0005744,0.0005744
74,12520,1.47274,1.51399,1.73461,0.75582,0.61914,0.72336,0.38458,nan,nan,nan,0.0005546,0.0005546,0.0005546
75,12694.2,1.47122,1.5341,1.73543,0.77416,0.6002,0.71738,0.38337,nan,nan,nan,0.0005348,0.0005348,0.0005348
76,12864.2,1.48657,1.5386,1.72224,0.76261,0.61495,0.72132,0.38959,nan,nan,nan,0.000515,0.000515,0.000515
77,13030.5,1.44752,1.50646,1.71067,0.75361,0.6341,0.72523,0.38447,nan,nan,nan,0.0004952,0.0004952,0.0004952
78,13201.7,1.43884,1.48566,1.70423,0.76773,0.63602,0.73846,0.39303,nan,nan,nan,0.0004754,0.0004754,0.0004754
79,13373.5,1.4802,1.53608,1.74112,0.76167,0.64706,0.74354,0.3929,nan,nan,nan,0.0004556,0.0004556,0.0004556
80,13544.6,1.43974,1.47841,1.7045,0.76147,0.6341,0.74083,0.39977,nan,nan,nan,0.0004358,0.0004358,0.0004358
81,13718.7,1.43958,1.46259,1.69523,0.75475,0.66102,0.75396,0.40017,nan,nan,nan,0.000416,0.000416,0.000416
82,13883.2,1.47693,1.48906,1.72845,0.77074,0.65503,0.75618,0.40567,nan,nan,nan,0.0003962,0.0003962,0.0003962
83,14054.4,1.45598,1.47018,1.71548,0.75958,0.64606,0.74691,0.40266,nan,nan,nan,0.0003764,0.0003764,0.0003764
84,14228.5,1.44165,1.49769,1.70724,0.75537,0.65902,0.74294,0.39329,nan,nan,nan,0.0003566,0.0003566,0.0003566
85,14394.3,1.41435,1.45158,1.67643,0.73811,0.67099,0.749,0.40473,nan,nan,nan,0.0003368,0.0003368,0.0003368
86,14559,1.4146,1.41723,1.67657,0.78173,0.69271,0.76725,0.41195,1.59091,1.38002,1.95294,0.000317,0.000317,0.000317
87,14727.1,1.39867,1.41415,1.67268,0.74237,0.67398,0.75297,0.39668,nan,nan,nan,0.0002972,0.0002972,0.0002972
88,14893,1.4131,1.40574,1.66002,0.75636,0.67498,0.75497,0.40364,nan,nan,nan,0.0002774,0.0002774,0.0002774
89,15061.1,1.4227,1.37995,1.67817,0.76229,0.65544,0.75873,0.40766,nan,nan,nan,0.0002576,0.0002576,0.0002576
90,15232.5,1.3947,1.37811,1.64854,0.76201,0.6672,0.75349,0.40696,nan,nan,nan,0.0002378,0.0002378,0.0002378
91,15421.1,1.38402,1.25615,1.69234,0.75678,0.64207,0.7308,0.3974,nan,nan,nan,0.000218,0.000218,0.000218
92,15588.6,1.37295,1.19154,1.68201,0.75577,0.64482,0.72601,0.39191,nan,nan,nan,0.0001982,0.0001982,0.0001982
93,15757.9,1.35524,1.1822,1.67545,0.7685,0.66002,0.73862,0.39717,nan,nan,nan,0.0001784,0.0001784,0.0001784
94,15925.8,1.34344,1.13805,1.66723,0.77554,0.64506,0.73141,0.39649,nan,nan,nan,0.0001586,0.0001586,0.0001586
95,16102.6,1.35806,1.1477,1.67505,0.77204,0.62313,0.71188,0.38492,nan,nan,nan,0.0001388,0.0001388,0.0001388
96,16277.3,1.33315,1.123,1.65489,0.76395,0.65181,0.73138,0.39221,nan,nan,nan,0.000119,0.000119,0.000119
97,16455.7,1.30898,1.10407,1.63736,0.77029,0.62855,0.71283,0.38257,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
98,16632.9,1.32136,1.10676,1.63758,0.75773,0.63908,0.72095,0.38633,nan,nan,nan,7.94e-05,7.94e-05,7.94e-05
99,16811.4,1.31257,1.08249,1.64316,0.76686,0.65304,0.72686,0.39002,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
100,16986.3,1.32437,1.10421,1.64963,0.76239,0.65578,0.73311,0.39326,nan,nan,nan,3.98e-05,3.98e-05,3.98e-05
